time,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10,ARROBS_HEAD_K:0_I:2_J:15,ARROBS_HEAD_K:0_I:2_J:9,ARROBS_HEAD_K:0_I:3_J:8,ARROBS_HEAD_K:0_I:9_J:1,ARROBS_HEAD_K:0_I:13_J:10,ARROBS_HEAD_K:0_I:15_J:16,ARROBS_HEAD_K:0_I:21_J:10,ARROBS_HEAD_K:0_I:22_J:15,ARROBS_HEAD_K:0_I:24_J:4,ARROBS_HEAD_K:0_I:26_J:6,ARROBS_HEAD_K:0_I:29_J:15,ARROBS_HEAD_K:0_I:33_J:7,ARROBS_HEAD_K:0_I:34_J:10
10397.00000000,34.64474168,35.63096018,35.75519407,36.83314617,34.80538495,34.38984879,34.72988290,34.25242231,35.51572222,35.10959884,34.18346849,34.67229044,34.37397667,34.64474168,35.63096018,35.75519407,36.83314617,34.80538495,34.38984879,34.72988290,34.25242231,35.51572222,35.10959884,34.18346849,34.67229044,34.37397667
10425.00000000,34.77000470,35.83183122,35.95982868,37.02977988,35.00535819,34.53835293,34.93110846,34.38552037,35.72887732,35.32460957,34.31540113,34.87582867,34.55762606,34.77000470,35.83183122,35.95982868,37.02977988,35.00535819,34.53835293,34.93110846,34.38552037,35.72887732,35.32460957,34.31540113,34.87582867,34.55762606
10456.00000000,34.91831218,36.09849240,36.23566118,37.32998860,35.25099321,34.70920509,35.18333580,34.54096071,36.02924599,35.61554788,34.46791846,35.13428461,34.77964824,34.91831218,36.09849240,36.23566118,37.32998860,35.25099321,34.70920509,35.18333580,34.54096071,36.02924599,35.61554788,34.46791846,35.13428461,34.77964824
10486.00000000,35.03382392,36.33116600,36.47957664,37.62305331,35.44974611,34.83788144,35.39179952,34.66022805,36.30484753,35.87360075,34.58364564,35.35043443,34.95552313,35.03382392,36.33116600,36.47957664,37.62305331,35.44974611,34.83788144,35.39179952,34.66022805,36.30484753,35.87360075,34.58364564,35.35043443,34.95552313
10517.00000000,35.09176525,36.48075969,36.64014771,37.84795354,35.55909113,34.89675413,35.51176600,34.71759498,36.49711577,36.04358943,34.63749237,35.47764838,35.04722075,35.09176525,36.48075969,36.64014771,37.84795354,35.55909113,34.89675413,35.51176600,34.71759498,36.49711577,36.04358943,34.63749237,35.47764838,35.04722075
10547.00000000,35.07293930,36.49911888,36.66574579,37.93218957,35.54415312,34.86670451,35.50500394,34.69445789,36.54433648,36.07100513,34.61182272,35.47281212,35.02310558,35.07293930,36.49911888,36.66574579,37.93218957,35.54415312,34.86670451,35.50500394,34.69445789,36.54433648,36.07100513,34.61182272,35.47281212,35.02310558
10578.00000000,34.98138736,36.38195882,36.55051385,37.85729347,35.40744702,34.75391208,35.37201130,34.59546281,36.43520604,35.94871935,34.51198641,35.33775616,34.88975809,34.98138736,36.38195882,36.55051385,37.85729347,35.40744702,34.75391208,35.37201130,34.59546281,36.43520604,35.94871935,34.51198641,35.33775616,34.88975809
10609.00000000,34.84411494,36.16277321,36.32727492,37.64368243,35.18850807,34.59139465,35.15100967,34.44949918,36.20050438,35.71176864,34.36722269,35.11374527,34.68802028,34.84411494,36.16277321,36.32727492,37.64368243,35.18850807,34.59139465,35.15100967,34.44949918,36.20050438,35.71176864,34.36722269,35.11374527,34.68802028
10639.00000000,34.70228095,35.90874774,36.06472394,37.35975954,34.95358243,34.42774420,34.90962723,34.30061806,35.91396007,35.43386176,34.22129684,34.86788080,34.47799012,34.70228095,35.90874774,36.06472394,37.35975954,34.95358243,34.42774420,34.90962723,34.30061806,35.91396007,35.43386176,34.22129684,34.86788080,34.47799012
10670.00000000,34.58721677,35.67512663,35.81983076,37.06651961,34.75334253,34.29862250,34.69927569,34.18087553,35.63632791,35.17378830,34.10527870,34.65287478,34.30413954,34.58721677,35.67512663,35.81983076,37.06651961,34.75334253,34.29862250,34.69927569,34.18087553,35.63632791,35.17378830,34.10527870,34.65287478,34.30413954
10700.00000000,34.53598168,35.53798835,35.67237649,36.85994870,34.65309890,34.24598084,34.58883468,34.12928952,35.45836796,35.01659133,34.05717063,34.53770767,34.22211006,34.53598168,35.53798835,35.67237649,36.85994870,34.65309890,34.24598084,34.58883468,34.12928952,35.45836796,35.01659133,34.05717063,34.53770767,34.22211006
10731.00000000,34.59395161,35.58335724,35.71200840,36.84671755,34.72755169,34.32101918,34.65590946,34.19289908,35.47911922,35.05537595,34.12303413,34.60145532,34.29875438,34.59395161,35.58335724,35.71200840,36.84671755,34.72755169,34.32101918,34.65590946,34.19289908,35.47911922,35.05537595,34.12303413,34.60145532,34.29875438
